song,artist,track_id,album_id,album_name,artist_id,popularity,release_date,track_duration_ms
Crybaby,SZA,1g7pFO1WtclKCuIQiS8sNM,3VQkNrG74QPY4rHBPoyZYZ,SOS Deluxe: LANA,7tYKF4w9nC0nq9CsPZTHyP,79.0,2024-12-20,241948.0
Wacced Out Murals,Kendrick Lamar,5gOfC9UzZQzTyShqPMrpjT,0hvT3yIEysuuvkK73vgdcW,GNX,2YZyLoL8N0Wb9xBt1NhZWg,84.0,2024-11-22,317092.0
Diet Pepsi,Addison Rae,6MzofobZt2dm0Kf1hTThFz,0XA403JTounqFh2owquBXu,Diet Pepsi,4gvjmrtzydbMpyJaXUtwvP,85.0,2024-08-09,169697.0
Apple,Charli xcx,19RybK6XDbAVpcdxSbZL1o,2lIZef4lzdvZkiiCzvPKj7,BRAT,25uiPmTg16RbhZWAqwLBy5,82.0,2024-06-07,151739.0
Boys Back Home,Dylan Marlowe & Dylan Scott,1hgINxfKQlJOikzd9skvC2,79S52DbQr4rfVJ3LUkC2P7,Boys Back Home,0ZZLr8EH3aNFzYpXtaTIax,60.0,2023-10-27,165835.0
25,Rod Wave,0U60hgxzGit7juEuHul2y3,4ffJTc6OVVJ7rr65r5CGbq,Last Lap,45TgXXqMDdF8BkjA83OM7z,75.0,2024-10-11,180000.0
Kitchen,SZA,3VPeA7IW68QRNTfgzb6biZ,3VQkNrG74QPY4rHBPoyZYZ,SOS Deluxe: LANA,7tYKF4w9nC0nq9CsPZTHyP,80.0,2024-12-20,172171.0
Burning Down,Alex Warren,0ydx75YiFzLjjQknKFNFwt,1cVpXZnVWHTDUuY8kW6x8M,"You'll Be Alright, Kid (Chapter 1)",0fTSzq9jAh4c36UVb4V7CB,75.0,2024-09-27,179437.0
Disease,Lady Gaga,19KlZwqlT3fguP2BeHF1Q1,52BWvTRMsPqjHzrbQomgwP,Disease,1HY2Jd0NmPuamShAr6KMms,83.0,2024-10-25,229997.0
Shake Dat Ass (Twerk Song),BossMan Dlow,1vkpe29DP5EvAxYnWVq5C1,3ESmtTRJZkIjPShkV48tdL,Too Slippery,23xFbA9rYgRX8mreqysWPc,70.0,2023-01-01,197000.0
